category,filename,title,path,tags,license
01_Low_Profile_Perspective_Gradient,low_profile_perspective_41.svg,Low Profile Perspective Arrow 41,01_Low_Profile_Perspective_Gradient/low_profile_perspective_41.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_42.svg,Low Profile Perspective Arrow 42,01_Low_Profile_Perspective_Gradient/low_profile_perspective_42.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_43.svg,Low Profile Perspective Arrow 43,01_Low_Profile_Perspective_Gradient/low_profile_perspective_43.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_44.svg,Low Profile Perspective Arrow 44,01_Low_Profile_Perspective_Gradient/low_profile_perspective_44.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_45.svg,Low Profile Perspective Arrow 45,01_Low_Profile_Perspective_Gradient/low_profile_perspective_45.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_46.svg,Low Profile Perspective Arrow 46,01_Low_Profile_Perspective_Gradient/low_profile_perspective_46.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_47.svg,Low Profile Perspective Arrow 47,01_Low_Profile_Perspective_Gradient/low_profile_perspective_47.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
01_Low_Profile_Perspective_Gradient,low_profile_perspective_48.svg,Low Profile Perspective Arrow 48,01_Low_Profile_Perspective_Gradient/low_profile_perspective_48.svg,gradient;perspective;main-chain;backbone,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_01.svg,Multi Lane Data Flow 01,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_01.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_02.svg,Multi Lane Data Flow 02,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_02.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_03.svg,Multi Lane Data Flow 03,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_03.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_04.svg,Multi Lane Data Flow 04,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_04.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_05.svg,Multi Lane Data Flow 05,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_05.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_06.svg,Multi Lane Data Flow 06,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_06.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_07.svg,Multi Lane Data Flow 07,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_07.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_08.svg,Multi Lane Data Flow 08,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_08.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
